sentence_index,sentence_original,clause,term,opinion,category,polarity,polarity_score,
249,dinh is a superamazing host who accomodated to all our requests,dinh accomodated to all our requests,host,accomodated,Service,Positive,0.9954,
250,very good,very good,,very good,Experience,Positive,0.9977,
251,super central,super central,,super central,Amenity,Positive,0.7323,
252,the host is great,the host is great,host,great,Service,Positive,0.9794,
253,privacy is awesome,privacy is awesome,privacy,awesome,Amenity,Positive,0.9941,
254,i had a great stay the whole renting process was smooth,i had a great stay,stay,great,Experience,Positive,0.9949,
254,i had a great stay the whole renting process was smooth,the whole renting process was smooth,renting process,smooth,Service,Positive,0.9927,
255,ac is strong,ac is strong,ac,strong,Facility,Positive,0.9461,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,theres all the things you need,all the things,,Facility,Positive,0.9814,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,fridge,fridge,,Facility,Neutral,0.8066,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,microwave,microwave,,Facility,Neutral,0.9188,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,stove,stove,,Facility,Neutral,0.9461,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,sink,sink,,Facility,Neutral,0.9607,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,washing drying machine,washing drying machine,,Facility,Neutral,0.5613,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,coffee table,coffee table,,Facility,Neutral,0.965,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,couch,couch,,Facility,Neutral,0.576,
256,theres all the things you need fridge microwave stove sink washing drying machine coffee table couch and bed,and bed,bed,,Facility,Neutral,0.9472,
257,shampoo and body wash provided,shampoo and body wash provided,"shampoo,body wash",provided,Facility,Positive,0.9302,
258,toothbrush combs are provided,toothbrush combs are provided,toothbrush combs,provided,Facility,Positive,0.8232,
259,good location close to everything,good location close to everything,location,good,Amenity,Positive,0.9962,
260,owner is always there to help quickly,owner is always there to help quickly,owner,help quickly,Service,Positive,0.9498,
261,good,good,,good,Experience,Positive,0.9797,
262,your privacy is always put on top that i turn back again before come back us,your privacy is always put on top,privacy,on top,Amenity,Positive,0.9643,
262,your privacy is always put on top that i turn back again before come back us,that i turn back again before come back us,,back again,Loyalty,Negative,0.9593,
263,very nice apartment and the location is perfect,very nice apartment,apartment,very nice,Branding,Positive,0.9971,
263,very nice apartment and the location is perfect,the location is perfect,location,perfect,Amenity,Positive,0.9887,
265,all thing is good,all thing is good,thing,good,Experience,Positive,0.9913,
266,nope,nope,,,Loyalty,Neutral,0.8618,
267,was for business purposes i can t complain with regards of my stay all be enjoyable,was for business purposes,,,Experience,Neutral,0.9513,
267,was for business purposes i can t complain with regards of my stay all be enjoyable,i can t complain with regards of my stay,stay,complain,Experience,Positive,0.9852,
267,was for business purposes i can t complain with regards of my stay all be enjoyable,all be enjoyable,stay,enjoyable,Experience,Positive,0.9852,
269,the host is really welcoming and hard working person,the host is really welcoming,host,really welcoming,Service,Positive,0.9902,
269,the host is really welcoming and hard working person,the host is really hard working person,host,hard working,Service,Positive,0.9589,
270,none of them,none of them,,,Loyalty,Negative,0.9377,
271,great host,great host,host,great,Service,Positive,0.9848,
272,diny is a great host and gives you a warm welcome when you arrive,diny is a great host,host,great,Service,Positive,0.9846,
272,diny is a great host and gives you a warm welcome when you arrive,gives you a warm welcome when you arrive,host,warm welcome,Service,Positive,0.9791,
273,gave us a lot of information about the building and what to do in the area,gave us a lot of information about the building,information,a lot,Service,Positive,0.9924,
273,gave us a lot of information about the building and what to do in the area,what to do in the area,area,,Experience,Neutral,0.9739,
274,everytime he saw us he came to check if anything was allright and if you need something he responds immediately,everytime he saw us he came to check if anything was allright,,,Service,Positive,0.9546,
274,everytime he saw us he came to check if anything was allright and if you need something he responds immediately,if you need something he responds immediately,,immediately,Service,Positive,0.9419,
275,we had a great stay and will definitely recommend this accomodation,we had a great stay,stay,great,Experience,Positive,0.9929,
275,we had a great stay and will definitely recommend this accomodation,will definitely recommend this accomodation,accomodation,definitely recommend,Loyalty,Positive,0.9964,
276,i m not doing anything,i m not doing anything,,,Experience,Positive,0.5844,
278,great apartment excellent rooftop pool with a view but the best thing was our host diny,great apartment,apartment,great,Branding,Positive,0.977,
278,great apartment excellent rooftop pool with a view but the best thing was our host diny,excellent rooftop pool with a view,"pool, view",excellent,Facility,Positive,0.9812,
278,great apartment excellent rooftop pool with a view but the best thing was our host diny,but the best thing was our host diny,host,best,Service,Positive,0.9889,
279,communication was very clear before we arrived he met us in the lobby when we arrived gave us some great local recommendations and then let us leave our bags with him after we checked out before making sure we got to the railway station in one piece,communication was very clear before we arrived,communication,very clear,Service,Positive,0.9623,
279,communication was very clear before we arrived he met us in the lobby when we arrived gave us some great local recommendations and then let us leave our bags with him after we checked out before making sure we got to the railway station in one piece,he met us in the lobby when we arrived,,,Service,Positive,0.5816,
279,communication was very clear before we arrived he met us in the lobby when we arrived gave us some great local recommendations and then let us leave our bags with him after we checked out before making sure we got to the railway station in one piece,gave us some great local recommendations,recommendations,great,Service,Positive,0.9865,
279,communication was very clear before we arrived he met us in the lobby when we arrived gave us some great local recommendations and then let us leave our bags with him after we checked out before making sure we got to the railway station in one piece,then let us leave our bags with him after we checked out before making sure we got to the railway station in one piece,,,Amenity,Positive,0.8812,
282,the host was super friendly and eager to help with anything,the host was super friendly,host,super friendly,Service,Positive,0.989,
282,the host was super friendly and eager to help with anything,the host was eager to help with anything,host,eager to help,Service,Positive,0.9926,
283,would recommend this first class residence and booking with diny,would recommend this first class residence and booking with diny,"residence,booking",first class,Loyalty,Positive,0.9891,
284,the pool was wonderful,the pool was wonderful,pool,wonderful,Facility,Positive,0.9895,
285,diny was a great host who helped us in a lot of ways,diny was a great host,host,great,Service,Positive,0.9761,
285,diny was a great host who helped us in a lot of ways,helped us in a lot of ways,,"help, a lot",Service,Positive,0.9916,
289,the location didn t not have a lot of restaurants open but maybe it was because it was tet at the time,the location didn t not have a lot of restaurants open,location,not have a lot of restaurants open,Amenity,Negative,0.4249,
289,the location didn t not have a lot of restaurants open but maybe it was because it was tet at the time,but maybe it was because it was tet at the time,location,,Experience,Neutral,0.4537,
290,perfect combination of comfortable accessible and value for money,perfect combination of comfortable accessible and value for money,,"perfect, comfortable, accessible, value for money",Amenity,Positive,0.9965,
291,the person who received us was s helpful and sweet,the person who received us was s helpful and sweet,,"s helpful, sweet",Service,Positive,0.9951,
292,this made us comfortable about the whole trip ahead,this made us comfortable about the whole trip ahead,trip,comfortable,Experience,Positive,0.9821,
293,go ahead book it for yourself,go ahead book it for yourself,,go ahead,Service,Neutral,0.8432,
294,it s perfect,it s perfect,,perfect,Branding,Positive,0.9964,
295,great location with excellent view to the city,great location with excellent view to the city,"location,view","great, excellent",Amenity,Positive,0.992,
296,within a few minutes with the car you are directly in the center of the city for sightseeing,within a few minutes with the car you are directly in the center of the city for sightseeing,,center of the city for sightseeing,Amenity,Positive,0.9026,
297,diny was super friendly and helped us organising our trip to the next city,diny was super friendly,,super friendly,Service,Positive,0.9826,
297,diny was super friendly and helped us organising our trip to the next city,helped us organising our trip to the next city,trip,helped,Service,Positive,0.4974,
298,we recommend this accommodation,we recommend this accommodation,accommodation,recommend,Loyalty,Positive,0.9938,
300,the apartment is very clean and comfortable,the apartment is very clean,apartment,very clean,Facility,Positive,0.9964,
300,the apartment is very clean and comfortable,the apartment is comfortable,apartment,comfortable,Experience,Positive,0.9958,
302,great rooftop pool,great rooftop pool,rooftop pool,great,Facility,Positive,0.9837,
303,the pillows were very thick,the pillows were very thick,pillows,very thick,Facility,Negative,0.6084,
305,polite and pleasant apartment owner,polite and pleasant apartment owner,apartment owner,"polite, pleasant",Service,Positive,0.9677,
306,additionally he communicates via wa which is very convenient,additionally he communicates via wa which is very convenient,,very convenient,Service,Positive,0.9774,
307,the room has everything you need iron clothes dryer hair dryer towels disposable razors are each in a separate package i was surprised the room is clean the air conditioning works fast wi fi,the room has everything you need,room,everything you need,Facility,Positive,0.9912,1
307,the room has everything you need iron clothes dryer hair dryer towels disposable razors are each in a separate package i was surprised the room is clean the air conditioning works fast wi fi,iron clothes dryer hair dryer towels disposable razors are each in a separate package,room,,Facility,Neutral,0.9583,
307,the room has everything you need iron clothes dryer hair dryer towels disposable razors are each in a separate package i was surprised the room is clean the air conditioning works fast wi fi,i was surprised the room is clean,room,clean,Facility,Positive,0.9616,
307,the room has everything you need iron clothes dryer hair dryer towels disposable razors are each in a separate package i was surprised the room is clean the air conditioning works fast wi fi,the air conditioning works fast,air conditioning,fast,Facility,Positive,0.9961,
307,the room has everything you need iron clothes dryer hair dryer towels disposable razors are each in a separate package i was surprised the room is clean the air conditioning works fast wi fi,wi fi,wi fi,,Facility,Neutral,0.5673,
308,thank you very much,thank you very much,,,Service,Positive,0.9932,
309,the manor complex is old old furniture,the manor complex is old,manor complex,old,Amenity,Negative,0.5184,
309,the manor complex is old old furniture,old furniture,furniture,old,Facility,Negative,0.571,
310,this doesn t bother me but it might be important to other visitors,this doesn t bother me,,,Experience,Positive,0.5843,
310,this doesn t bother me but it might be important to other visitors,it might be important to other visitors,visitor,important,Loyalty,Positive,0.9733,
314,dino is super nice always quick to react for any request and speaks english well,dino is super nice,,super nice,Service,Positive,0.9754,
314,dino is super nice always quick to react for any request and speaks english well,dino is always quick to react for any request,,quick to react,Service,Positive,0.9885,
314,dino is super nice always quick to react for any request and speaks english well,dino speaks english well,,well,Service,Positive,0.8666,
316,spacious apartment beautiful rooftop pool,spacious apartment,apartment,spacious,Facility,Positive,0.9954,
316,spacious apartment beautiful rooftop pool,beautiful rooftop pool,pool,beautiful,Facility,Positive,0.972,
319,we loved the pool just like in the pictures,we loved the pool just like in the pictures,pool,loved,Facility,Positive,0.9859,
320,there are only two lifts that take you to level 25 for access to the pool,there are only two lifts that take you to level 25 for access to the pool,lifts,,Amenity,Negative,0.5353,
321,the apartment was bright and clean fantastic shower,the apartment was bright and clean,apartment,"bright, clean",Facility,Positive,0.9975,
321,the apartment was bright and clean fantastic shower,fantastic shower,shower,fantastic,Facility,Positive,0.9895,
322,great view at night with all the buildings lit up,great view at night with all the buildings lit up,view,great,Experience,Positive,0.975,
323,the location quite far from all the sights,the location quite far from all the sights,location,quite far,Amenity,Negative,0.9538,
324,mrt nearby and grab is cheap enough,mrt nearby and grab is cheap enough,"mrt, grab",cheap enough,Amenity,Positive,0.7719,
325,you got what you paid for,you got what you paid for,,got,Experience,Positive,0.6861,
326,the location,the location,location,,Amenity,Neutral,0.9479,
327,too ripped off parking fee,too ripped off parking fee,parking fee,too ripped off,Amenity,Negative,0.9496,
328,great little apartment pool lovely with a great view,great little apartment pool,apartment,"great, little",Facility,Positive,0.9903,
328,great little apartment pool lovely with a great view,lovely with a great view,view,great,Experience,Positive,0.9939,
330,also near the tram stop,also near the tram stop,,,Amenity,Positive,0.8474,
331,host is very hands on for any problems or queries,host is very hands on for any problems or queries,host,very hands on,Service,Positive,0.9557,
332,that it s cash only,that it s cash only,,cash only,Amenity,Negative,0.5189,
333,very good,very good,,very good,Experience,Positive,0.9977,
335,convenience is nice rental,convenience is nice,convenience,nice,Service,Positive,0.9588,
335,convenience is nice rental,rental,rental,,Service,Neutral,0.982,
336,good experience,good experience,experience,good,Experience,Positive,0.988,
337,perfect for ho chi minh,perfect for ho chi minh,,perfect,Branding,Positive,0.8665,
338,tastefully furnished functional furnished and clean apartment with an exceptional view,tastefully furnished,,furnished,Facility,Positive,0.9964,
338,tastefully furnished functional furnished and clean apartment with an exceptional view,functional furnished,,furnished,Facility,Positive,0.9972,
338,tastefully furnished functional furnished and clean apartment with an exceptional view,clean apartment,apartment,clean,Facility,Positive,0.984,
338,tastefully furnished functional furnished and clean apartment with an exceptional view,with an exceptional view,view,exceptional,Experience,Positive,0.9832,
339,very kind of you,very kind of you,,very kind,Service,Positive,0.997,
340,very good,very good,,very good,Experience,Positive,0.9977,
342,the best of saigon,the best of saigon,saigon,best,Branding,Positive,0.9846,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,host diny is the best we found in all of asia,host,best,Service,Positive,0.9828,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,helps you in everything you can,,,Service,Positive,0.9752,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,gives many tips,,gives,Service,Positive,0.9952,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,where to go to do the transportation,transportation,,Amenity,Neutral,0.9346,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,plus left us one and a half later on the check out,,,Service,Negative,0.9685,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,the apartment is comfortable,apartment,comfortable,Experience,Positive,0.9958,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,clean,,clean,Facility,Positive,0.9832,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,two large towels for each,,,Facility,Positive,0.59,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,has everything you need for a nice stay in saigon,stay,nice,Experience,Positive,0.9625,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,the views of the city spectacular,view,spectacular,Experience,Positive,0.9964,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,the building has some mini market downstairs,building,,Amenity,Positive,0.6667,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,the pool with great views,pool,great views,Facility,Positive,0.928,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,i recommend it,,,Loyalty,Positive,0.9857,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,is a great place,,great,Branding,Positive,0.9853,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,thank you diny,,,Service,Positive,0.9274,
343,host diny is the best we found in all of asia helps you in everything you can gives many tips where to go to do the transportation plus left us one and a half later on the check out the apartment is comfortable clean two large towels for each has everything you need for a nice stay in saigon the views of the city spectacular the building has some mini market downstairs the pool with great views i recommend it is a great place thank you diny don t change,don t change,,,Loyalty,Negative,0.9684,
344,nada,nada,,,Experience,Neutral,0.8895,
348,,the staff was really helpful,staff,helpful,Service,Positive,0.9925,
348,,the room was clean and comfortable,room,"clean, comfortable",Facility,Positive,0.9977,
348,,the hotel provided free breakfast,hotel,,Service,Positive,0.9438,
348,,the service was fast and efficient,service,"fast, efficient",Service,Positive,0.9979,
348,,the location was central and convenient,location,"central, convenient",Amenity,Positive,0.9956,
349,very good,very good,,very good,Experience,Positive,0.9977,
352,very good,very good,,very good,Experience,Positive,0.9977,
353,i liked everything clean everything is there good neighborhood comfortable residential complex near cafes shops,i liked everything clean,,clean,Facility,Positive,0.9939,
353,i liked everything clean everything is there good neighborhood comfortable residential complex near cafes shops,everything is there good,,good,Experience,Positive,0.9937,
353,i liked everything clean everything is there good neighborhood comfortable residential complex near cafes shops,comfortable residential complex,residential complex,comfortable,Amenity,Positive,0.9968,
353,i liked everything clean everything is there good neighborhood comfortable residential complex near cafes shops,near cafes shops,"cafes,shops",,Amenity,Positive,0.977,
354,the owner is a very nice and kind person,the owner is a very nice and kind person,owner,"very nice, kind",Service,Positive,0.987,
355,everything was fine,everything was fine,,fine,Experience,Positive,0.7812,
356,there was a bit of noise from the neighbors at night but it didn t spoil the overall impression of the accommodation,there was a bit of noise from the neighbors at night,noise,a bit of noise,Amenity,Negative,0.8464,
356,there was a bit of noise from the neighbors at night but it didn t spoil the overall impression of the accommodation,it didn t spoil the overall impression of the accommodation,accommodation,,Branding,Positive,0.7972,
357,very good,very good,,very good,Experience,Positive,0.9977,
359,we highly recommend it thank you diny,we highly recommend it,,highly recommend,Loyalty,Positive,0.9936,
359,we highly recommend it thank you diny,thank you diny,,,Service,Positive,0.9274,
360,very good,very good,,very good,Experience,Positive,0.9977,
361,bardzo dobry kontakt z gospodarzem,bardzo dobry kontakt z gospodarzem,kontakt,dobry,Facility,Positive,0.9918,
364,no i wisienka na torcie czyli basen na 25 pi trze z genialnym widokiem na miasto mo na si fajnie zrelaksowa,no i wisienka na torcie czyli basen na 25 pi trze z genialnym widokiem na miasto mo na si fajnie zrelaksowa,,genialnym widokiem,Facility,Positive,0.9061,
365,nic please,nic please,,,Service,Negative,0.7482,
367,very good,very good,,very good,Experience,Positive,0.9977,
368,l g n ra parken d r du kunde hitta p massvis med att g ra,l g n ra parken d r du kunde hitta p massvis med att g ra,parken,g ra,Facility,Neutral,0.7809,
370,everything is nickel nothing to say nice spacious room with a magnificent view on the 17th floor of the whole city,everything is nickel nothing to say,,nothing to say,Experience,Positive,0.9138,
370,everything is nickel nothing to say nice spacious room with a magnificent view on the 17th floor of the whole city,nice spacious room,room,"nice, spacious",Facility,Positive,0.9978,
370,everything is nickel nothing to say nice spacious room with a magnificent view on the 17th floor of the whole city,with a magnificent view on the 17th floor of the whole city,view,magnificent,Experience,Positive,0.9537,
372,very good,very good,,very good,Experience,Positive,0.9977,
373,it s the second time i ve been there,it s the second time i ve been there,,,Loyalty,Positive,0.9711,
374,it s perfect again,it s perfect again,,perfect,Branding,Positive,0.9955,
375,the staff is always in touch,the staff is always in touch,staff,in touch,Service,Positive,0.9858,
377,,the staff was very friendly,staff,friendly,Service,Positive,0.995,
377,,the room was clean and spacious,room,"clean, spacious",Facility,Positive,0.9975,
377,,the breakfast was delicious,breakfast,delicious,Experience,Positive,0.9858,
377,,the hotel has excellent service,hotel,excellent,Service,Positive,0.9901,
377,,the location is convenient,location,convenient,Amenity,Positive,0.992,
380,it s a very good pool there s always a shortage of people,it s a very good pool,pool,very good,Facility,Positive,0.994,
380,it s a very good pool there s always a shortage of people,there s always a shortage of people,people,shortage,Service,Negative,0.7362,
384,great apartment for its price in ho chi minh city good residential complex,great apartment for its price in ho chi minh city,apartment,great,Branding,Positive,0.9749,
384,great apartment for its price in ho chi minh city good residential complex,good residential complex,residential complex,good,Amenity,Positive,0.9946,
385,the owner was very attentive,the owner was very attentive,owner,very attentive,Service,Positive,0.9927,
386,the view from the window is amazing especially at night,the view from the window is amazing,view,amazing,Experience,Positive,0.9906,
386,the view from the window is amazing especially at night,especially at night,view,,Experience,Positive,0.6112,
387,it s a bit far from the center but on the one hand walking is also useful especially after a long flight and then we bought a sim downloaded the grab app and we had no problems getting there at all,it s a bit far from the center,center,far,Amenity,Negative,0.8981,
387,it s a bit far from the center but on the one hand walking is also useful especially after a long flight and then we bought a sim downloaded the grab app and we had no problems getting there at all,but on the one hand walking is also useful especially after a long flight,walking,useful,Amenity,Positive,0.3953,
387,it s a bit far from the center but on the one hand walking is also useful especially after a long flight and then we bought a sim downloaded the grab app and we had no problems getting there at all,and then we bought a sim downloaded the grab app,app,,Amenity,Neutral,0.973,
387,it s a bit far from the center but on the one hand walking is also useful especially after a long flight and then we bought a sim downloaded the grab app and we had no problems getting there at all,and we had no problems getting there at all,,no problems,Experience,Positive,0.9057,
390,i enjoyed my stay in dunne s clean beautiful apartment complete with kitchen utensils cleanliness quiet and a beautiful swimming pool,i enjoyed my stay in dunne s clean beautiful apartment,"stay, apartment","enjoyed, clean, beautiful",Experience,Positive,0.9975,
390,i enjoyed my stay in dunne s clean beautiful apartment complete with kitchen utensils cleanliness quiet and a beautiful swimming pool,dunne s clean beautiful apartment complete with kitchen utensils,apartment,"clean, beautiful",Facility,Positive,0.9978,
390,i enjoyed my stay in dunne s clean beautiful apartment complete with kitchen utensils cleanliness quiet and a beautiful swimming pool,cleanliness,cleanliness,cleanliness,Facility,Positive,0.9509,
390,i enjoyed my stay in dunne s clean beautiful apartment complete with kitchen utensils cleanliness quiet and a beautiful swimming pool,quiet,quiet,quiet,Experience,Positive,0.9824,
390,i enjoyed my stay in dunne s clean beautiful apartment complete with kitchen utensils cleanliness quiet and a beautiful swimming pool,a beautiful swimming pool,swimming pool,beautiful,Facility,Positive,0.991,
391,it s a really great site,it s a really great site,site,great,Branding,Positive,0.9976,
392,it was nothing,it was nothing,,,Branding,Neutral,0.6409,
393,impeccable value for money,impeccable value for money,value,impeccable,Amenity,Positive,0.9886,
394,it s a spacious well located apartment,it s a spacious well located apartment,apartment,"spacious, well located",Branding,Positive,0.9979,
396,very good,very good,,very good,Experience,Positive,0.9977,
397,the host was friendly and thoughtful,the host was friendly,host,friendly,Service,Positive,0.99,
397,the host was friendly and thoughtful,the host was thoughtful,host,thoughtful,Service,Positive,0.9788,
398,very good,very good,,very good,Experience,Positive,0.9977,
399,it was perfect diny gave me a great welcome and recommended me restaurants and places to visit,it was perfect,,perfect,Branding,Positive,0.9967,
399,it was perfect diny gave me a great welcome and recommended me restaurants and places to visit,diny gave me a great welcome,,great,Service,Positive,0.9518,
399,it was perfect diny gave me a great welcome and recommended me restaurants and places to visit,recommended me restaurants and places to visit,restaurant,recommended,Loyalty,Positive,0.725,
400,the room is huge and the pool on the roof has an incredible view,the room is huge,room,huge,Facility,Positive,0.9954,
400,the room is huge and the pool on the roof has an incredible view,the pool on the roof has an incredible view,pool,incredible view,Facility,Positive,0.9563,
401,i advise you,i advise you,,,Loyalty,Positive,0.989,
402,the best place to stay in ho chi minh city,the best place to stay in ho chi minh city,place,best,Branding,Positive,0.9661,
403,we stayed for two nights just before returning home the owner was very welcoming and kind and sent us pictures of the room in advance and answered questions and requests such as how to pay the room was clean and spacious with a great view a kitchen and a full automatic washing machine with cooking utensils and a dishwasher etc it was very comfortable on the first floor there was a seven bathroom at the roof with a nice view and a pool with hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,we stayed for two nights just before returning home,,,Experience,Neutral,0.9322,
403,we stayed for two nights just before returning home the owner was very welcoming and kind and sent us pictures of the room in advance and answered questions and requests such as how to pay the room was clean and spacious with a great view a kitchen and a full automatic washing machine with cooking utensils and a dishwasher etc it was very comfortable on the first floor there was a seven bathroom at the roof with a nice view and a pool with hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,the owner was very welcoming and kind,,"very welcoming, kind",Service,Positive,0.9927,
403,we stayed for two nights just before returning home the owner was very welcoming and kind and sent us pictures of the room in advance and answered questions and requests such as how to pay the room was clean and spacious with a great view a kitchen and a full automatic washing machine with cooking utensils and a dishwasher etc it was very comfortable on the first floor there was a seven bathroom at the roof with a nice view and a pool with hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,and sent us pictures of the room in advance,room,,Service,Positive,0.5693,
403,we stayed for two nights just before returning home the owner was very welcoming and kind and sent us pictures of the room in advance and answered questions and requests such as how to pay the room was clean and spacious with a great view a kitchen and a full automatic washing machine with cooking utensils and a dishwasher etc it was very comfortable on the first floor there was a seven bathroom at the roof with a nice view and a pool with hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot hot,and answered questions and requests such as how to pay,,,Service,Positive,0.9675,
